full_name,created_at,description,forks_count,language,open_issues_count,size,stargazers_count,subscribers_count,updated_at,watchers_count,langs_percentage,framework
googlesamples/web-fundamentals,2014-05-13 22:08:22+00:00,Google Web Fundamentals,201,HTML,5,69887,309,48,2024-07-19 03:15:02+00:00,309,"{'HTML': '92.67%', 'JavaScript': '3.94%', 'CSS': '3.39%'}",googlesamples
googlesamples/io2014-codelabs,2014-06-14 01:43:21+00:00,Google I/O 2014 Codelabs,56,Java,6,3870,177,29,2023-01-27 22:48:55+00:00,177,"{'Java': '77.74%', 'JavaScript': '10.70%', 'Go': '5.35%', 'CSS': '2.45%', 'Dart': '2.32%', 'Groovy': '1.45%'}",googlesamples
googlesamples/android-play-publisher-api,2014-07-03 01:26:35+00:00,,286,Java,46,30,491,56,2024-06-17 19:59:05+00:00,491,"{'Java': '65.85%', 'Python': '34.15%'}",googlesamples
googlesamples/identity-toolkit-java,2014-07-18 18:19:18+00:00,,24,Java,2,6543,23,23,2024-04-16 22:52:50+00:00,23,"{'Java': '78.16%', 'HTML': '21.84%'}",googlesamples
googlesamples/identity-toolkit-ruby,2014-07-18 18:20:43+00:00,,12,HTML,0,137,4,16,2023-01-27 22:48:55+00:00,4,"{'HTML': '52.57%', 'Ruby': '47.43%'}",googlesamples
googlesamples/identity-toolkit-php,2014-07-18 18:20:49+00:00,,24,PHP,1,176,15,20,2023-01-27 22:33:40+00:00,15,{'PHP': '100.00%'},googlesamples
googlesamples/identity-toolkit-ios,2014-07-18 18:20:51+00:00,,17,Objective-C,3,7261,14,20,2023-01-28 12:59:55+00:00,14,"{'Objective-C': '99.56%', 'Ruby': '0.44%'}",googlesamples
googlesamples/identity-toolkit-go,2014-10-01 18:03:36+00:00,Identity toolkit sample code for Go,31,Go,4,35,25,19,2024-07-09 09:48:48+00:00,25,"{'Go': '98.59%', 'Shell': '1.41%'}",googlesamples
googlesamples/identity-toolkit-node,2014-10-16 18:53:13+00:00,,19,JavaScript,1,21,29,18,2024-05-21 06:22:31+00:00,29,"{'JavaScript': '83.91%', 'HTML': '16.09%'}",googlesamples
googlesamples/androidtv-sample-inputs,2014-11-20 22:18:21+00:00,Sample Channel App (TV Input Service) on Android TV using TIF,238,Java,43,24208,486,73,2024-07-25 05:52:41+00:00,486,{'Java': '100.00%'},googlesamples
