full_name,name,owner,html_url,description,language,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,forks_count,open_issues_count,subscribers_count,network_count,archived,total_lines,langs_percentage
googlesamples/identity-toolkit-node,identity-toolkit-node,googlesamples,https://github.com/googlesamples/identity-toolkit-node,,JavaScript,2014-10-16 18:53:13+00:00,2024-05-21 06:22:31+00:00,2016-08-03 19:00:33+00:00,21,29,29,19,1,18,19,True,8647,"{'JavaScript': '83.91%', 'HTML': '16.09%'}"
googlesamples/google-services,google-services,googlesamples,https://github.com/googlesamples/google-services,A collection of quickstart samples demonstrating the Google APIs for Android and iOS,Java,2015-05-20 22:45:11+00:00,2024-08-02 14:30:48+00:00,2024-04-30 05:41:31+00:00,9009,3040,3040,2519,153,286,2519,False,149899,"{'Java': '50.12%', 'Objective-C': '28.81%', 'Swift': '19.26%', 'Objective-C++': '1.10%', 'Ruby': '0.46%', 'Shell': '0.25%'}"
googlesamples/io2014-codelabs,io2014-codelabs,googlesamples,https://github.com/googlesamples/io2014-codelabs,Google I/O 2014 Codelabs,Java,2014-06-14 01:43:21+00:00,2023-01-27 22:48:55+00:00,2015-08-30 03:40:54+00:00,3870,177,177,56,6,29,56,True,766343,"{'Java': '77.74%', 'JavaScript': '10.70%', 'Go': '5.35%', 'CSS': '2.45%', 'Dart': '2.32%', 'Groovy': '1.45%'}"
googlesamples/android-PermissionRequest,android-PermissionRequest,googlesamples,https://github.com/googlesamples/android-PermissionRequest,,Java,2014-12-15 19:50:35+00:00,2023-05-27 04:14:44+00:00,2018-02-16 00:37:37+00:00,838,95,95,46,3,24,46,True,59795,"{'Java': '93.53%', 'JavaScript': '3.60%', 'CSS': '1.45%', 'HTML': '1.43%'}"
googlesamples/identity-toolkit-ios,identity-toolkit-ios,googlesamples,https://github.com/googlesamples/identity-toolkit-ios,,Objective-C,2014-07-18 18:20:51+00:00,2023-01-28 12:59:55+00:00,2015-08-06 20:38:16+00:00,7261,14,14,17,3,20,17,True,20556,"{'Objective-C': '99.56%', 'Ruby': '0.44%'}"
googlesamples/web-fundamentals,web-fundamentals,googlesamples,https://github.com/googlesamples/web-fundamentals,Google Web Fundamentals,HTML,2014-05-13 22:08:22+00:00,2024-07-19 03:15:02+00:00,2020-12-04 17:51:23+00:00,69887,309,309,201,5,48,201,False,420286,"{'HTML': '92.67%', 'JavaScript': '3.94%', 'CSS': '3.39%'}"
googlesamples/dcp-parser-go,dcp-parser-go,googlesamples,https://github.com/googlesamples/dcp-parser-go,,Go,2015-04-15 02:56:21+00:00,2024-03-17 13:19:19+00:00,2015-04-20 17:38:20+00:00,115,9,9,10,0,8,10,True,39914,{'Go': '100.00%'}
googlesamples/cloud-polymer-go,cloud-polymer-go,googlesamples,https://github.com/googlesamples/cloud-polymer-go,"Sample App Engine application with Go, Cloud Endpoints, and Polymer",HTML,2015-03-21 01:27:26+00:00,2024-04-29 21:35:31+00:00,2015-12-04 05:18:27+00:00,21,118,118,33,4,15,33,True,17825,"{'HTML': '73.78%', 'Go': '26.22%'}"
googlesamples/android-play-publisher-api,android-play-publisher-api,googlesamples,https://github.com/googlesamples/android-play-publisher-api,,Java,2014-07-03 01:26:35+00:00,2024-06-17 19:59:05+00:00,2023-04-13 11:24:34+00:00,30,491,491,286,46,56,286,True,45818,"{'Java': '65.85%', 'Python': '34.15%'}"
googlesamples/identity-toolkit-ruby,identity-toolkit-ruby,googlesamples,https://github.com/googlesamples/identity-toolkit-ruby,,HTML,2014-07-18 18:20:43+00:00,2023-01-27 22:48:55+00:00,2015-08-31 19:34:44+00:00,137,4,4,12,0,16,12,True,3780,"{'HTML': '52.57%', 'Ruby': '47.43%'}"
googlesamples/io2015-codelabs,io2015-codelabs,googlesamples,https://github.com/googlesamples/io2015-codelabs,codelabs for Google I/O 2015,Java,2015-05-20 02:41:51+00:00,2024-07-19 22:04:14+00:00,2020-09-30 12:55:30+00:00,182515,517,517,165,114,50,165,True,1613196,"{'Java': '42.63%', 'JavaScript': '34.32%', 'Objective-C': '18.15%', 'HTML': '3.11%', 'CSS': '0.70%', 'Go': '0.68%', 'Python': '0.23%', 'Protocol Buffer': '0.14%', 'Ruby': '0.02%'}"
