full_name,owner,html_url,stargazers_count,forks_count,watchers_count,contributors_count,language,size,LOC,first_commit_date,last_commit_date,commits_count,year,month,days,year,month,days,year,month,days,open_issues_count,closed_issues_count,issues_count,open_pulls_count,closed_pulls_count,Total PR,merged_pulls_count,% of open_pulls_count,% of Merged,archived
acr-dotnet-manage-azure-container-registry,Microsoft Azure,https://github.com/Azure-Samples/acr-dotnet-manage-azure-container-registry,2,3,22,10,C#,28.230,54.220,16/06/2017,17/01/2024,33,6,7,1,7,2,3,0,7,2,2,10,12,2,10,12,1,"16,67%","10,00%",FALSE
acr-dotnet-manage-azure-container-registry-with-webhooks,Microsoft Azure,https://github.com/Azure-Samples/acr-dotnet-manage-azure-container-registry-with-webhooks,2,1,22,8,C#,28.155,55.379,06/12/2017,17/01/2024,21,6,1,11,6,8,13,0,7,2,2,10,12,2,10,12,1,"16,67%","10,00%",FALSE
acr-tasks,Microsoft Azure,https://github.com/Azure-Samples/acr-tasks,31,51,26,10,C#,63,4.429,10/09/2018,27/10/2023,69,5,1,17,5,11,9,0,9,23,1,18,19,1,18,19,15,"5,26%","83,33%",FALSE
active-directory-b2c-dotnet-desktop,Microsoft Azure,https://github.com/Azure-Samples/active-directory-b2c-dotnet-desktop,75,38,49,21,C#,150,18.473,08/08/2019,13/05/2024,170,4,9,5,5,0,11,0,3,6,4,107,111,1,81,82,73,"1,22%","90,12%",FALSE
active-directory-b2c-javascript-nodejs-webapi,Microsoft Azure,https://github.com/Azure-Samples/active-directory-b2c-javascript-nodejs-webapi,141,90,50,17,JavaScript,204,6.986,02/05/2017,08/07/2024,80,7,2,6,7,3,17,0,1,11,0,40,40,0,23,23,17,"0,00%","73,91%",FALSE
active-directory-b2c-xamarin-native,Microsoft Azure,https://github.com/Azure-Samples/active-directory-b2c-xamarin-native,109,65,55,24,C#,1.221,28.674,25/07/2019,08/07/2024,219,4,11,13,5,0,25,0,1,11,18,174,192,3,87,90,77,"3,33%","88,51%",FALSE
active-directory-dotnet-native-aspnetcore-v2,Microsoft Azure,https://github.com/Azure-Samples/active-directory-dotnet-native-aspnetcore-v2,280,196,54,28,C#,1.373,91.459,04/05/2021,12/06/2024,505,3,1,8,3,3,15,0,2,7,16,248,264,1,196,197,172,"0,51%","87,76%",FALSE
active-directory-dotnetcore-console-up-v2,Microsoft Azure,https://github.com/Azure-Samples/active-directory-dotnetcore-console-up-v2,77,37,43,17,C#,176,39.095,30/04/2019,10/02/2024,136,4,9,11,5,3,20,0,6,9,2,68,70,2,59,61,57,"3,28%","96,61%",FALSE
active-directory-verifiable-credentials-node,Microsoft Azure,https://github.com/Azure-Samples/active-directory-verifiable-credentials-node,16,25,29,7,JavaScript,603,91.251,24/09/2021,23/11/2023,81,2,1,30,2,10,26,0,8,27,0,25,25,0,22,22,20,"0,00%","90,91%",FALSE
agent-openai-python-prompty,Microsoft Azure,https://github.com/Azure-Samples/agent-openai-python-prompty,53,37,19,10,Python,2.877,97.523,17/05/2024,24/06/2024,206,0,1,7,0,3,2,0,1,26,10,103,112,3,83,86,78,"3,49%","93,98%",FALSE
ai-rag-chat-evaluator,Microsoft Azure,https://github.com/Azure-Samples/ai-rag-chat-evaluator,175,66,75,9,Python,1.198,64.638,20/01/2024,17/07/2024,147,0,5,27,0,6,30,0,1,2,12,85,97,1,56,57,43,"1,75%","76,79%",FALSE
