full_name,name,owner,html_url,description,language,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,forks_count,open_issues_count,subscribers_count,network_count,archived,total_lines,langs_percentage,issues_count,closed_issues_count,closed_pulls_count,open_pulls_count,total_pulls_count,merged_pulls_count,commits_count,first_commit_date,last_commit_date,branches_count,topics,contributors_count,timestamp
googlearchive/storage-bulk-delete-python,storage-bulk-delete-python,googlearchive,https://github.com/googlearchive/storage-bulk-delete-python,Example program to showcase the use of bulk requests in the Cloud Storage JSON API,Python,2013-05-15 06:03:13+00:00,2023-01-28 09:19:36+00:00,2015-09-23 21:35:44+00:00,155,8,8,3,2,61,3,True,3024,{'Python': '100.00%'},3,1,1,0,1,1,15,2013-05-15 05:38:18+00:00,2015-09-23 21:35:44+00:00,1,[],2,20240809_225242
googlearchive/instantbuy-sample-xyz-java,instantbuy-sample-xyz-java,googlearchive,https://github.com/googlearchive/instantbuy-sample-xyz-java,Mobile Web Sample using Instant Buy API,Java,2013-09-27 22:19:45+00:00,2024-07-29 10:34:43+00:00,2018-02-23 00:53:42+00:00,4413,0,0,5,0,15,5,True,145150,"{'Java': '65.36%', 'JavaScript': '30.26%', 'CSS': '4.39%'}",0,0,0,0,0,0,5,2013-09-27 22:19:45+00:00,2018-02-23 00:53:41+00:00,1,[],2,20240809_225242
googlearchive/gplus-verifytoken-python,gplus-verifytoken-python,googlearchive,https://github.com/googlearchive/gplus-verifytoken-python,This sample demonstrates how to verify authentication tokens using Python.,HTML,2013-05-05 09:12:47+00:00,2023-01-28 18:21:12+00:00,2017-02-14 21:15:31+00:00,11,29,29,9,1,10,9,True,8555,"{'HTML': '55.62%', 'Python': '44.38%'}",3,3,3,0,3,3,15,2013-05-05 09:12:48+00:00,2017-02-14 21:15:30+00:00,1,[],6,20240809_225234
googlearchive/storage-getting-started-go,storage-getting-started-go,googlearchive,https://github.com/googlearchive/storage-getting-started-go,This is a simple example of calling the Google Cloud Storage API in Go.,Go,2013-06-05 03:14:23+00:00,2023-01-28 09:23:20+00:00,2016-11-29 19:36:06+00:00,20,36,36,8,1,41,8,True,5182,{'Go': '100.00%'},8,7,5,0,5,4,23,2013-06-05 03:14:23+00:00,2016-11-29 19:36:06+00:00,1,[],4,20240809_225242
googlearchive/compute-getting-started-java,compute-getting-started-java,googlearchive,https://github.com/googlearchive/compute-getting-started-java,This sample java command line application demonstrates how to access the Compute Engine API using the Google Java API Client Library.,Java,2013-11-22 22:42:03+00:00,2023-01-28 09:23:21+00:00,2016-04-19 16:45:43+00:00,29,9,9,13,0,63,13,True,11500,{'Java': '100.00%'},4,4,4,0,4,4,26,2013-11-22 22:42:03+00:00,2016-04-19 16:45:38+00:00,3,[],5,20240809_225249
googlearchive/gplus-haiku-client-ios,gplus-haiku-client-ios,googlearchive,https://github.com/googlearchive/gplus-haiku-client-ios,Haiku+ is full featured sample application for the Google+ Platform.,Objective-C,2013-10-10 18:06:09+00:00,2023-01-28 18:21:13+00:00,2014-09-26 22:34:09+00:00,6600,1,1,2,0,9,2,True,382266,"{'Objective-C': '98.32%', 'C': '1.68%'}",4,4,4,0,4,3,10,2013-10-10 18:06:09+00:00,2014-09-26 22:34:09+00:00,1,[],4,20240809_225242
googlearchive/gplus-haiku-client-android,gplus-haiku-client-android,googlearchive,https://github.com/googlearchive/gplus-haiku-client-android,Haiku+ is full featured sample application for the Google+ Platform.,Java,2013-10-10 18:06:59+00:00,2023-08-13 11:34:59+00:00,2015-03-20 18:27:27+00:00,778,10,10,13,0,11,13,True,102293,{'Java': '100.00%'},7,7,5,0,5,4,10,2013-10-10 18:06:59+00:00,2015-03-20 18:27:27+00:00,1,[],5,20240809_225243
googlearchive/android-ElevationBasic,android-ElevationBasic,googlearchive,https://github.com/googlearchive/android-ElevationBasic,Migrated:,Java,2014-06-26 15:55:57+00:00,2023-03-02 15:58:16+00:00,2019-09-10 21:33:33+00:00,298,59,59,25,0,20,25,True,34317,{'Java': '100.00%'},2,2,1,0,1,0,26,2014-06-26 15:56:05+00:00,2019-09-10 21:33:33+00:00,1,[],3,20240809_225250
googlearchive/solutions-apache-hive-and-pig-on-google-compute-engine,solutions-apache-hive-and-pig-on-google-compute-engine,googlearchive,https://github.com/googlearchive/solutions-apache-hive-and-pig-on-google-compute-engine,"This sample app will get up and running quickly with Hive and/or Pig on a Hadoop cluster on Google Compute Engine.  For more information on running Hadoop on GCE, read the papers at https://cloud.google.com/resources/.",Shell,2013-08-15 20:28:56+00:00,2023-01-28 17:39:42+00:00,2018-01-09 00:44:58+00:00,33,19,19,15,0,32,15,True,20979,{'Shell': '100.00%'},1,1,1,0,1,1,6,2013-08-15 20:14:02+00:00,2018-01-09 00:44:57+00:00,2,[],1,20240809_225242
googlearchive/gplus-haiku-server-java,gplus-haiku-server-java,googlearchive,https://github.com/googlearchive/gplus-haiku-server-java,Haiku+ is full featured sample application for the Google+ Platform.,JavaScript,2013-10-10 18:07:38+00:00,2023-01-28 18:21:13+00:00,2014-09-26 20:48:38+00:00,445,0,0,5,0,8,5,True,420284,"{'JavaScript': '50.68%', 'Java': '44.57%', 'CSS': '4.54%', 'Groovy': '0.21%'}",3,3,3,0,3,3,9,2013-10-10 18:07:38+00:00,2014-09-26 20:48:37+00:00,1,[],4,20240809_225242
