full_name,name,owner,html_url,description,language,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,forks_count,open_issues_count,subscribers_count,network_count,archived,total_lines,langs_percentage,issues_count,closed_issues_count,closed_pulls_count,open_pulls_count,total_pulls_count,merged_pulls_count,commits_count,first_commit_date,last_commit_date,branches_count,topics,contributors_count,timestamp
googlesamples/identity-toolkit-ruby,identity-toolkit-ruby,googlesamples,https://github.com/googlesamples/identity-toolkit-ruby,,HTML,2014-07-18 18:20:43+00:00,2023-01-27 22:48:55+00:00,2015-08-31 19:34:44+00:00,137,4,4,12,0,16,12,True,3780,"{'HTML': '52.57%', 'Ruby': '47.43%'}",3,3,3,0,3,3,7,2014-07-24 03:23:33+00:00,2015-08-31 19:34:44+00:00,1,[],5,20240809_144503
googlesamples/dcp-parser-go,dcp-parser-go,googlesamples,https://github.com/googlesamples/dcp-parser-go,,Go,2015-04-15 02:56:21+00:00,2024-03-17 13:19:19+00:00,2015-04-20 17:38:20+00:00,115,9,9,10,0,8,10,True,39914,{'Go': '100.00%'},0,0,0,0,0,0,5,2015-03-20 23:46:09+00:00,2015-04-20 17:35:27+00:00,1,[],1,20240809_144503
googlesamples/identity-toolkit-django,identity-toolkit-django,googlesamples,https://github.com/googlesamples/identity-toolkit-django,,,2014-12-16 23:46:04+00:00,2023-01-27 22:48:55+00:00,2015-08-02 02:26:29+00:00,156,2,2,9,0,16,9,True,0,{},1,1,1,0,1,0,1,2014-12-16 23:46:04+00:00,2014-12-16 23:46:04+00:00,1,[],1,20240809_144504
googlesamples/identity-toolkit-go,identity-toolkit-go,googlesamples,https://github.com/googlesamples/identity-toolkit-go,Identity toolkit sample code for Go,Go,2014-10-01 18:03:36+00:00,2024-07-09 09:48:48+00:00,2016-05-25 03:48:55+00:00,35,25,25,31,4,19,31,True,23192,"{'Go': '98.59%', 'Shell': '1.41%'}",13,9,8,1,9,7,25,2014-10-01 18:45:57+00:00,2016-04-14 19:18:22+00:00,1,[],7,20240809_144504
googlesamples/android-play-games-in-motion,android-play-games-in-motion,googlesamples,https://github.com/googlesamples/android-play-games-in-motion,,Java,2015-04-16 23:42:47+00:00,2024-08-01 23:09:40+00:00,2015-08-30 03:45:33+00:00,2223,152,152,49,1,26,49,True,233049,{'Java': '100.00%'},2,1,0,0,0,0,6,2015-04-11 05:01:50+00:00,2015-04-30 19:19:37+00:00,1,[],1,20240809_144504
googlesamples/identity-toolkit-java,identity-toolkit-java,googlesamples,https://github.com/googlesamples/identity-toolkit-java,,Java,2014-07-18 18:19:18+00:00,2024-04-16 22:52:50+00:00,2015-12-21 22:44:47+00:00,6543,23,23,24,2,23,24,True,6144,"{'Java': '78.16%', 'HTML': '21.84%'}",6,4,4,1,5,4,10,2014-07-19 03:27:51+00:00,2015-12-21 22:44:25+00:00,1,[],5,20240809_144504
googlesamples/cloud-polymer-go,cloud-polymer-go,googlesamples,https://github.com/googlesamples/cloud-polymer-go,"Sample App Engine application with Go, Cloud Endpoints, and Polymer",HTML,2015-03-21 01:27:26+00:00,2024-04-29 21:35:31+00:00,2015-12-04 05:18:27+00:00,21,118,118,33,4,15,33,True,17825,"{'HTML': '73.78%', 'Go': '26.22%'}",9,5,3,1,4,2,12,2015-03-21 01:03:07+00:00,2015-12-04 05:17:59+00:00,2,[],3,20240809_144503
googlesamples/android-PermissionRequest,android-PermissionRequest,googlesamples,https://github.com/googlesamples/android-PermissionRequest,,Java,2014-12-15 19:50:35+00:00,2023-05-27 04:14:44+00:00,2018-02-16 00:37:37+00:00,838,95,95,46,3,24,46,True,59795,"{'Java': '93.53%', 'JavaScript': '3.60%', 'CSS': '1.45%', 'HTML': '1.43%'}",3,0,0,0,0,0,21,2014-12-15 19:50:35+00:00,2018-02-16 00:37:34+00:00,1,[],1,20240809_144503
googlesamples/identity-toolkit-php,identity-toolkit-php,googlesamples,https://github.com/googlesamples/identity-toolkit-php,,PHP,2014-07-18 18:20:49+00:00,2023-01-27 22:33:40+00:00,2017-11-14 12:48:31+00:00,176,15,15,24,1,20,24,True,831,{'PHP': '100.00%'},6,5,3,1,4,3,8,2014-07-19 00:20:51+00:00,2015-07-01 04:38:20+00:00,2,[],4,20240809_144504
googlesamples/io2014-codelabs,io2014-codelabs,googlesamples,https://github.com/googlesamples/io2014-codelabs,Google I/O 2014 Codelabs,Java,2014-06-14 01:43:21+00:00,2023-01-27 22:48:55+00:00,2015-08-30 03:40:54+00:00,3870,177,177,56,6,29,56,True,766343,"{'Java': '77.74%', 'JavaScript': '10.70%', 'Go': '5.35%', 'CSS': '2.45%', 'Dart': '2.32%', 'Groovy': '1.45%'}",23,17,3,3,6,2,15,2014-06-25 07:44:19+00:00,2014-08-08 21:16:38+00:00,1,[],5,20240809_144504
