Language,Usage Percentage,Lines
Jupyter Notebook,32.59%,975553878
Python,23.91%,715609433
C,12.38%,370639616
JavaScript,7.01%,209750069
HTML,5.31%,158878071
Java,3.82%,114271375
C#,3.55%,106250408
TypeScript,2.49%,74548991
CSS,1.30%,38954775
Roff,1.09%,32773379
C++,0.91%,27211559
Shell,0.88%,26418874
Bicep,0.61%,18253399
PowerShell,0.56%,16664163
HCL,0.55%,16597932
Objective-C,0.28%,8392249
Kotlin,0.25%,7455726
PHP,0.23%,6932497
Go,0.19%,5720594
Assembly,0.19%,5668511
Cython,0.19%,5629061
TSQL,0.15%,4554134
CMake,0.14%,4304465
SCSS,0.14%,4282984
Scala,0.12%,3610430
Vue,0.11%,3305381
Swift,0.10%,3019848
Dockerfile,0.09%,2606945
Makefile,0.08%,2342437
Jsonnet,0.08%,2433394
Batchfile,0.06%,1730215
Handlebars,0.06%,1833534
Rust,0.06%,1922430
Lasso,0.06%,1788255
COBOL,0.05%,1530946
Less,0.04%,1066019
Ruby,0.03%,1005970
PLpgSQL,0.03%,906490
Nextflow,0.03%,892654
Svelte,0.03%,770419
Groovy,0.02%,536845
ShaderLab,0.02%,521798
Dart,0.01%,243323
GLSL,0.01%,231526
EJS,0.01%,157524
XSLT,0.01%,326376
Smarty,0.01%,411729
R,0.01%,413091
PostScript,0.01%,191746
Jinja,0.01%,203646
Gherkin,0.01%,188148
WDL,0.01%,159477
Open Policy Agent,0.01%,248610
Coq,0.01%,372588
OpenEdge ABL,0.01%,390474
Lua,0.00%,61046
Prolog,0.00%,4762
Objective-C++,0.00%,118879
Starlark,0.00%,22227
AIDL,0.00%,558
Protocol Buffer,0.00%,2258
Perl,0.00%,117845
Arduino,0.00%,27054
HLSL,0.00%,78686
FreeMarker,0.00%,15796
Mustache,0.00%,73194
Visual Basic,0.00%,29197
ASP,0.00%,62010
IDL,0.00%,191
ApacheConf,0.00%,398
Groff,0.00%,1910
Mask,0.00%,605
RenderScript,0.00%,5443
ASP.NET,0.00%,118490
HiveQL,0.00%,82544
Solidity,0.00%,121824
Pug,0.00%,33429
Stylus,0.00%,2333
Visual Basic .NET,0.00%,8135
Mako,0.00%,5401
M4,0.00%,9901
Blade,0.00%,62523
PLSQL,0.00%,76440
PureBasic,0.00%,11966
VBA,0.00%,19976
F#,0.00%,23019
CoffeeScript,0.00%,315
Pascal,0.00%,418
Puppet,0.00%,6718
AutoHotkey,0.00%,591
Rebol,0.00%,1675
Smalltalk,0.00%,13100
Procfile,0.00%,316
Hack,0.00%,4120
ANTLR,0.00%,10896
Clojure,0.00%,15305
Elixir,0.00%,148094
SourcePawn,0.00%,8305
CAP CDS,0.00%,41018
TeX,0.00%,86822
Fortran,0.00%,100379
Meson,0.00%,0
Forth,0.00%,9224
JCL,0.00%,24599
Clean,0.00%,3891
Velocity Template Language,0.00%,141999
Dafny,0.00%,11466
MDX,0.00%,34100
Raku,0.00%,4599
Crystal,0.00%,1358
AppleScript,0.00%,65358
REXX,0.00%,4350
VBScript,0.00%,6919
Vim Script,0.00%,4912
nesC,0.00%,258
OpenSCAD,0.00%,1212
Cuda,0.00%,142283
SaltStack,0.00%,61
Smithy,0.00%,50715
M,0.00%,18595
MATLAB,0.00%,5801
Polar,0.00%,1391
POV-Ray SDL,0.00%,4758
Liquid,0.00%,109578
JetBrains MPS,0.00%,1512
Twig,0.00%,2824
Mermaid,0.00%,3184
Apex,0.00%,21358
JSONiq,0.00%,1774
ASL,0.00%,42541
SMT,0.00%,198
Tcl,0.00%,73986
Haml,0.00%,4607
SQLPL,0.00%,69138
Julia,0.00%,1374
Csound Document,0.00%,29943
Visual Basic 6.0,0.00%,992
Thrift,0.00%,1340
WebAssembly,0.00%,92368
Awk,0.00%,73
Nunjucks,0.00%,19110
Nix,0.00%,861
q,0.00%,2626
QMake,0.00%,0
SmPL,0.00%,0
ABAP,0.00%,52354
Astro,0.00%,4980
BitBake,0.00%,1122
