full_name,name,owner,html_url,description,language,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,forks_count,open_issues_count,subscribers_count,network_count,archived,total_lines,langs_percentage,issues_count,closed_issues_count,closed_pulls_count,open_pulls_count,total_pulls_count,merged_pulls_count,commits_count,first_commit_date,last_commit_date,branches_count,topics,contributors_count,timestamp
spring-cloud-samples/spring-cloud-circuitbreaker-demo,spring-cloud-circuitbreaker-demo,spring-cloud-samples,https://github.com/spring-cloud-samples/spring-cloud-circuitbreaker-demo,Samples demonstrating how to using Spring Cloud Circuitbreaker,Java,2019-02-15 15:21:16+00:00,2024-07-27 00:22:53+00:00,2022-07-07 12:46:09+00:00,186,64,64,61,4,12,61,False,20376,{'Java': '100.00%'},7,3,3,2,5,3,16,2019-02-15 15:22:11+00:00,2022-07-07 12:46:09+00:00,2,"['spring', 'spring-cloud', 'circuit-breaker', 'spring-cloud-circuitbreaker', 'samples']",3,20240809_144503
spring-cloud-samples/spring-cloud-contract-nodejs-external-contracts,spring-cloud-contract-nodejs-external-contracts,spring-cloud-samples,https://github.com/spring-cloud-samples/spring-cloud-contract-nodejs-external-contracts,External contracts for the Spring Cloud Contract NodeJS sample,Java,2018-03-15 15:42:55+00:00,2021-04-26 15:04:54+00:00,2021-04-26 15:04:51+00:00,60,1,1,4,1,3,4,False,3798,{'Java': '100.00%'},3,2,2,1,3,2,6,2018-03-15 13:45:47+00:00,2020-09-18 11:47:17+00:00,1,[],2,20240809_144503
spring-cloud-samples/svn-config-server,svn-config-server,spring-cloud-samples,https://github.com/spring-cloud-samples/svn-config-server,Sample Config Server and Config Client.  The Config Server is configured to use Subversion rather than git,Java,2015-03-17 17:01:12+00:00,2023-05-16 08:38:56+00:00,2023-10-30 13:59:51+00:00,6,16,16,22,2,12,22,False,1661,{'Java': '100.00%'},4,2,1,1,2,0,5,2015-03-16 22:00:18+00:00,2016-01-20 00:47:07+00:00,2,[],2,20240809_144503
spring-cloud-samples/feign-eureka,feign-eureka,spring-cloud-samples,https://github.com/spring-cloud-samples/feign-eureka,Example of using feign with eureka,Java,2015-01-07 19:43:47+00:00,2024-06-17 16:52:09+00:00,2024-06-17 17:23:13+00:00,120,233,233,164,10,17,164,False,2288,{'Java': '100.00%'},21,11,6,3,9,4,20,2015-01-07 19:43:47+00:00,2024-06-17 16:52:01+00:00,6,[],5,20240809_144503
spring-cloud-samples/brewery,brewery,spring-cloud-samples,https://github.com/spring-cloud-samples/brewery,Brewing beer with Spring Cloud has never been that easy...,Java,2015-12-07 14:58:06+00:00,2024-08-07 02:33:13+00:00,2024-05-27 14:16:56+00:00,37077,352,352,109,9,25,109,False,150379,"{'Java': '63.26%', 'Shell': '18.25%', 'Groovy': '10.75%', 'JavaScript': '4.19%', 'HTML': '3.03%', 'Python': '0.43%', 'Lua': '0.08%'}",42,33,17,2,19,13,576,2019-02-04 10:46:28+00:00,2024-05-27 14:16:53+00:00,9,[],6,20240809_144503
spring-cloud-samples/sample-gateway-oauth2login,sample-gateway-oauth2login,spring-cloud-samples,https://github.com/spring-cloud-samples/sample-gateway-oauth2login,Sample application integrating Spring Cloud Gateway and Spring Security OAuth2,Java,2018-12-19 20:43:44+00:00,2024-07-03 08:27:31+00:00,2020-11-10 19:44:25+00:00,79,209,209,99,8,15,113,False,7597,"{'Java': '77.46%', 'HTML': '22.54%'}",19,11,7,3,10,4,14,2018-12-19 16:02:55+00:00,2019-07-10 13:37:01+00:00,2,"['spring-cloud', 'spring-boot', 'spring-cloud-gateway', 'spring-security', 'spring-security-oauth2']",5,20240809_144503
spring-cloud-samples/spring-cloud-config-vault,spring-cloud-config-vault,spring-cloud-samples,https://github.com/spring-cloud-samples/spring-cloud-config-vault,Sample application demonstrating how to use Hashicorp Vault as a backend for a Spring Cloud Config server,Java,2018-10-29 23:17:57+00:00,2024-02-18 22:56:13+00:00,2021-04-26 15:09:18+00:00,66,16,16,16,1,4,16,False,1999,{'Java': '100.00%'},3,2,1,1,2,1,4,2018-10-29 23:19:12+00:00,2019-03-20 13:51:14+00:00,1,[],2,20240809_144503
spring-cloud-samples/the-legacy-app,the-legacy-app,spring-cloud-samples,https://github.com/spring-cloud-samples/the-legacy-app,[S1P 2017] the legacy app that calls the mainframe,Java,2018-10-26 09:33:57+00:00,2024-07-10 20:26:05+00:00,2024-07-10 20:26:01+00:00,314,0,0,3,0,6,4,False,24637,"{'Java': '76.35%', 'Shell': '12.42%', 'Groovy': '11.23%'}",24,24,24,0,24,20,75,2017-12-01 10:53:18+00:00,2024-07-10 20:26:00+00:00,9,[],5,20240809_144503
spring-cloud-samples/spring-cloud-gateway-sample,spring-cloud-gateway-sample,spring-cloud-samples,https://github.com/spring-cloud-samples/spring-cloud-gateway-sample,Sample Spring Cloud Gateway Application,Java,2017-10-13 16:41:13+00:00,2024-07-27 06:24:56+00:00,2021-12-07 20:03:34+00:00,79,360,360,231,16,15,231,False,5990,{'Java': '100.00%'},21,5,2,9,11,0,21,2017-10-13 16:42:29+00:00,2021-12-07 20:03:31+00:00,2,"['spring-cloud', 'spring-cloud-gateway', 'spring-boot', 'spring', 'java', 'microservices', 'cloud-native']",1,20240809_144504
spring-cloud-samples/bookstore-service-broker,bookstore-service-broker,spring-cloud-samples,https://github.com/spring-cloud-samples/bookstore-service-broker,Sample application for Spring Cloud Open Service Broker,Java,2017-12-27 22:38:55+00:00,2023-10-31 05:22:23+00:00,2021-11-06 23:46:44+00:00,401,72,72,59,11,11,59,False,99339,"{'Java': '99.84%', 'Dockerfile': '0.16%'}",25,14,10,3,13,9,82,2017-12-27 22:38:50+00:00,2021-03-05 16:48:38+00:00,4,"['cloudfoundry', 'kubernetes', 'open-service-broker-api', 'open-service-broker']",4,20240809_144503
spring-cloud-samples/eureka-release-train-interop,eureka-release-train-interop,spring-cloud-samples,https://github.com/spring-cloud-samples/eureka-release-train-interop,Samples that check interop between last two Spring Cloud release trains,Shell,2018-03-21 16:17:00+00:00,2021-08-20 09:50:34+00:00,2022-11-22 11:36:43+00:00,153,0,0,5,1,3,5,False,59265,"{'Shell': '51.96%', 'Java': '48.04%'}",5,4,4,1,5,4,29,2017-01-24 16:45:09+00:00,2021-08-20 09:50:28+00:00,1,[],2,20240809_144503
spring-cloud-samples/configserver,configserver,spring-cloud-samples,https://github.com/spring-cloud-samples/configserver,,Java,2014-07-20 16:20:55+00:00,2024-06-18 14:33:03+00:00,2022-03-09 20:45:29+00:00,113,371,371,393,5,28,393,False,2033,"{'Java': '90.01%', 'Dockerfile': '9.99%'}",29,24,5,1,6,4,81,2014-07-14 11:59:59+00:00,2021-06-15 12:43:02+00:00,12,[],6,20240809_144503
spring-cloud-samples/sc-contract-car-rental,sc-contract-car-rental,spring-cloud-samples,https://github.com/spring-cloud-samples/sc-contract-car-rental,Sample setup used for the Why Contract Tests Matter? presentation,Java,2018-10-26 09:33:34+00:00,2024-07-10 20:26:08+00:00,2024-07-10 20:26:04+00:00,314,3,3,7,4,6,27,False,25375,"{'Java': '72.49%', 'Shell': '23.40%', 'Groovy': '2.31%', 'JavaScript': '1.79%'}",65,61,61,4,65,23,136,2018-10-26 10:06:32+00:00,2024-07-10 20:26:03+00:00,12,[],6,20240809_144504
spring-cloud-samples/config-repo,config-repo,spring-cloud-samples,https://github.com/spring-cloud-samples/config-repo,Configuration files for the server sample,,2014-08-28 07:00:36+00:00,2024-07-12 09:31:41+00:00,2022-05-10 21:12:20+00:00,94,137,137,891,1,20,891,False,0,{},32,31,28,0,28,1,100,2014-06-14 12:07:37+00:00,2022-05-10 21:12:20+00:00,9,[],2,20240809_144503
spring-cloud-samples/eureka,eureka,spring-cloud-samples,https://github.com/spring-cloud-samples/eureka,,Java,2014-07-20 16:23:11+00:00,2024-07-31 17:49:29+00:00,2024-06-09 16:22:42+00:00,995,498,498,432,8,36,432,False,1550,{'Java': '100.00%'},55,47,21,1,22,9,92,2014-07-14 11:59:59+00:00,2023-06-19 11:08:44+00:00,17,[],9,20240809_144503
