full_name,name,owner,html_url,description,language,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,forks_count,open_issues_count,subscribers_count,network_count,archived,total_lines,langs_percentage,issues_count,closed_issues_count,closed_pulls_count,open_pulls_count,total_pulls_count,merged_pulls_count,commits_count,first_commit_date,last_commit_date,branches_count,topics,contributors_count,timestamp
spring-guides/gs-actuator-service,gs-actuator-service,spring-guides,https://github.com/spring-guides/gs-actuator-service,Building a RESTful Web Service with Spring Boot Actuator  :: Learn how to create a RESTful Web service with Spring Boot Actuator.,Java,2013-05-09 07:35:30+00:00,2024-07-28 12:17:06+00:00,2024-06-19 13:48:00+00:00,1194,75,75,130,3,31,130,False,4577,"{'Java': '91.74%', 'Shell': '8.26%'}",35,32,25,0,25,21,238,2015-03-31 21:55:54+00:00,2024-06-19 13:47:32+00:00,3,[],20,20240809_144131
spring-guides/gs-managing-transactions,gs-managing-transactions,spring-guides,https://github.com/spring-guides/gs-managing-transactions,Managing Transactions :: Learn how to wrap key parts of code with transactions.,Java,2013-07-10 16:50:41+00:00,2024-07-02 23:22:09+00:00,2024-07-02 18:09:48+00:00,964,19,19,56,0,25,56,False,3892,{'Java': '100.00%'},19,19,15,0,15,10,198,2014-11-20 16:15:12+00:00,2024-07-02 18:08:10+00:00,2,[],11,20240809_144131
spring-guides/gs-integration,gs-integration,spring-guides,https://github.com/spring-guides/gs-integration,"Integrating Data :: Learn how to build an application that uses Spring Integration to fetch data, process it, and write it to a file.",Java,2013-06-25 20:09:44+00:00,2024-07-23 16:03:14+00:00,2024-07-23 15:51:02+00:00,945,12,12,43,0,25,43,False,2682,{'Java': '100.00%'},29,29,23,0,23,17,210,2014-09-02 15:57:53+00:00,2024-07-23 15:49:09+00:00,3,['spring-integration'],13,20240809_144132
spring-guides/gs-relational-data-access,gs-relational-data-access,spring-guides,https://github.com/spring-guides/gs-relational-data-access,Accessing Relational Data using JDBC with Spring :: Learn how to access relational data with Spring.,Java,2013-04-19 16:30:04+00:00,2024-07-25 14:27:22+00:00,2024-07-08 14:04:08+00:00,1211,80,80,145,4,26,145,False,2857,{'Java': '100.00%'},41,37,24,2,26,19,225,2015-03-15 18:34:37+00:00,2024-07-04 02:02:53+00:00,2,[],16,20240809_144131
spring-guides/gs-scheduling-tasks,gs-scheduling-tasks,spring-guides,https://github.com/spring-guides/gs-scheduling-tasks,Scheduling Tasks :: Learn how to schedule tasks with Spring.,Java,2013-04-17 16:58:47+00:00,2024-07-26 19:48:37+00:00,2024-06-28 12:00:53+00:00,1061,124,124,161,3,28,161,False,4009,{'Java': '100.00%'},35,32,23,1,24,15,255,2015-06-09 13:42:05+00:00,2024-06-28 12:00:53+00:00,5,[],12,20240809_144132
spring-guides/gs-accessing-data-jpa,gs-accessing-data-jpa,spring-guides,https://github.com/spring-guides/gs-accessing-data-jpa,Accessing Data with JPA :: Learn how to work with JPA data persistence using Spring Data JPA.,Java,2013-07-10 19:35:08+00:00,2024-08-02 12:05:46+00:00,2024-08-02 12:05:48+00:00,1198,229,229,347,0,38,347,False,4845,{'Java': '100.00%'},69,69,42,0,42,27,249,2016-05-06 14:48:05+00:00,2024-08-02 12:05:30+00:00,2,['spring-data-jpa'],22,20240809_144132
spring-guides/gs-validating-form-input,gs-validating-form-input,spring-guides,https://github.com/spring-guides/gs-validating-form-input,Validating Form Input :: Learn how to perform form validation with Spring.,Java,2013-05-03 19:43:54+00:00,2024-08-01 12:22:39+00:00,2024-08-01 12:22:41+00:00,1936,121,121,122,0,31,122,False,6282,"{'Java': '85.35%', 'HTML': '14.65%'}",42,42,27,0,27,13,233,2015-06-09 13:42:12+00:00,2024-08-01 12:22:13+00:00,2,[],15,20240809_144132
spring-guides/gs-accessing-data-neo4j,gs-accessing-data-neo4j,spring-guides,https://github.com/spring-guides/gs-accessing-data-neo4j,Accessing Data with Neo4j :: Learn how to persist objects and relationships in Neo4j's NoSQL data store.,Java,2013-05-02 17:00:12+00:00,2024-06-21 04:16:13+00:00,2024-06-20 16:08:21+00:00,1226,29,29,49,4,27,49,False,4954,"{'Java': '87.83%', 'Shell': '12.17%'}",49,45,30,0,30,24,249,2016-01-22 03:28:12+00:00,2024-06-20 16:08:04+00:00,2,[],19,20240809_144132
spring-guides/gs-accessing-data-mongodb,gs-accessing-data-mongodb,spring-guides,https://github.com/spring-guides/gs-accessing-data-mongodb,Accessing Data with MongoDB :: Learn how to persist data in MongoDB.,Java,2013-07-11 18:53:58+00:00,2024-08-02 18:44:03+00:00,2024-08-01 12:26:28+00:00,1147,136,136,161,1,35,161,False,5226,{'Java': '100.00%'},49,48,26,0,26,20,240,2016-02-26 13:28:58+00:00,2024-08-01 12:26:09+00:00,3,[],15,20240809_144132
spring-guides/gs-batch-processing,gs-batch-processing,spring-guides,https://github.com/spring-guides/gs-batch-processing,Creating a Batch Service :: Learn how to create a basic batch-driven solution.,Java,2013-05-15 18:33:30+00:00,2024-08-02 01:13:25+00:00,2024-07-02 18:19:14+00:00,1235,234,234,417,0,35,417,False,7041,{'Java': '100.00%'},69,69,51,0,51,39,271,2017-01-30 17:36:35+00:00,2024-07-02 18:18:18+00:00,3,['spring-batch'],22,20240809_144132
