,count,mean,std,min,25%,50%,75%,max,median,mode
size,9319.0,8935.179525700183,47750.58393934315,1.0,64.0,408.0,2560.0,1965261.0,408.0,10
stargazers_count,9319.0,37.454125979182315,191.38190034947246,0.0,2.0,6.0,19.0,9846.0,6.0,1
forks_count,9319.0,30.2897306577959,191.32835201210665,0.0,1.0,4.0,13.0,8314.0,4.0,0
open_issues_count,9319.0,2.90277926816182,10.170007533533418,0.0,0.0,1.0,2.0,509.0,1.0,0
subscribers_count,9319.0,15.609292842579675,65.80994577406966,0.0,3.0,8.0,17.0,4562.0,8.0,2
network_count,9319.0,36.60628822835068,396.78509514210265,0.0,1.0,4.0,13.0,23275.0,4.0,0
total_lines,9319.0,321381.12222341454,3358849.6994255073,0.0,7044.0,23902.0,83967.0,185625162.0,23902.0,0
issues_count,9319.0,20.23843760060092,132.51643164813902,0.0,1.0,3.0,12.0,9505.0,3.0,0
closed_issues_count,9319.0,17.339950638480524,128.45023416418434,0.0,0.0,2.0,8.0,9370.0,2.0,0
closed_pulls_count,9319.0,14.019208069535358,119.54739516655812,0.0,0.0,2.0,7.0,9351.0,2.0,0
open_pulls_count,9319.0,1.473226741066638,4.7615278497822064,0.0,0.0,0.0,1.0,138.0,0.0,0
total_pulls_count,9319.0,15.492434810601996,121.33377464574626,0.0,0.0,2.0,9.0,9474.0,2.0,0
merged_pulls_count,9319.0,9.757270093357656,55.55528867052164,0.0,0.0,1.0,5.0,3205.0,1.0,0
commits_count,9319.0,48.95096040347677,195.43450761956623,1.0,7.0,16.0,36.0,10404.0,16.0,3
branches_count,9319.0,3.3401652537825948,9.49749278460116,1.0,1.0,1.0,3.0,297.0,1.0,1
contributors_count,9319.0,4.367421397145616,7.41152253989173,0.0,2.0,3.0,4.0,296.0,3.0,2
